Preset Blend,Ingredient,Dosage,Dosage Range (mg)
Craffteine™ ENERGY+,Caffeine Anhydrous,200 mg,0-300 mg
Craffteine™ ENERGY+,L-Theanine,100 mg,0-100 mg
Craffteine™ ENERGY+,Guarana Extract,100 mg,0-100 mg
Craffteine™ ENERGY+,L-Tyrosine,500 mg,0-500 mg
Craffteine™ ENERGY+,Vitamin B3,20 mg,0-20 mg
Craffteine™ ENERGY+,Vitamin B5,10 mg,0-10 mg
Craffteine™ ENERGY+,Vitamin B12,500 mcg,0-0.5 mg
Craffteine™ ENERGY+,Piperine,5 mg,0-5 mg
Craffteine™ ENERGY+,Green Tea Extract (Optional),200 mg,0-200 mg
Craffteine™ FOCUS FLOW,L-Theanine,150 mg,0-150 mg
Craffteine™ FOCUS FLOW,Alpha-GPC,300 mg,0-300 mg
Craffteine™ FOCUS FLOW,Rhodiola Rosea,250 mg,0-250 mg
Craffteine™ FOCUS FLOW,Huperzine A,100 mcg,0-0.1 mg
Craffteine™ FOCUS FLOW,Citicoline,250 mg,0-250 mg
Craffteine™ FOCUS FLOW,Vitamin B6,5 mg,0-5 mg
Craffteine™ FOCUS FLOW,Lion's Mane,500 mg,0-500 mg
Craffteine™ FOCUS FLOW,L-Tyrosine,300 mg,0-300 mg
Craffteine™ FOCUS FLOW,Bacopa (Optional),300 mg,0-300 mg
Craffteine™ CALM CORE,Kanna,50 mg,0-50 mg
Craffteine™ CALM CORE,Ashwagandha,300 mg,0-300 mg
Craffteine™ CALM CORE,Magnesium Glycinate,150 mg,0-150 mg
Craffteine™ CALM CORE,Lemon Balm,300 mg,0-300 mg
Craffteine™ CALM CORE,GABA,150 mg,0-150 mg
Craffteine™ CALM CORE,Holy Basil,300 mg,0-300 mg
Craffteine™ CALM CORE,Vitamin B6,5 mg,0-5 mg
Craffteine™ CALM CORE,L-Theanine,100 mg,0-100 mg
Craffteine™ CALM CORE,5-HTP (Optional),50 mg,0-50 mg
Craffteine™ THERMO BURN,Caffeine Anhydrous,200 mg,0-300 mg
Craffteine™ THERMO BURN,Green Tea Extract,300 mg,0-300 mg
Craffteine™ THERMO BURN,Capsaicin,50 mg,0-50 mg
Craffteine™ THERMO BURN,Grains of Paradise,40 mg,0-40 mg
Craffteine™ THERMO BURN,Ginger Root Extract,150 mg,0-150 mg
Craffteine™ THERMO BURN,Forskolin,125 mg,0-125 mg
Craffteine™ THERMO BURN,Piperine,5 mg,0-5 mg
Craffteine™ THERMO BURN,Berberine,250 mg,0-250 mg
Craffteine™ THERMO BURN,Vitamin B3,25 mg,0-25 mg
Craffteine™ THERMO BURN,L-Carnitine (Optional),1000 mg,0-1000 mg
Craffteine™ PUMP+PERFORM,L-Citrulline Malate,6000 mg,0-6000 mg
Craffteine™ PUMP+PERFORM,Beta-Alanine,2000 mg,0-2000 mg
Craffteine™ PUMP+PERFORM,Creatine Monohydrate,3000 mg,0-3000 mg
Craffteine™ PUMP+PERFORM,Beet Root Powder,1000 mg,0-1000 mg
Craffteine™ PUMP+PERFORM,Coconut Water Powder,1000 mg,0-1000 mg
Craffteine™ PUMP+PERFORM,Sodium,200 mg,0-200 mg
Craffteine™ PUMP+PERFORM,Potassium,150 mg,0-150 mg
Craffteine™ PUMP+PERFORM,Magnesium,100 mg,0-100 mg
Craffteine™ PUMP+PERFORM,BCAAs (Optional),3000 mg,0-3000 mg
Craffteine™ IMMUNITY GUARD,Vitamin C,500 mg,0-500 mg
Craffteine™ IMMUNITY GUARD,Zinc,15 mg,0-15 mg
Craffteine™ IMMUNITY GUARD,Vitamin D3,1000 IU,0-0.025 mg
Craffteine™ IMMUNITY GUARD,Reishi Mushroom,500 mg,0-500 mg
Craffteine™ IMMUNITY GUARD,Elderberry,400 mg,0-400 mg
Craffteine™ IMMUNITY GUARD,Quercetin,300 mg,0-300 mg
Craffteine™ IMMUNITY GUARD,Astragalus Root,250 mg,0-250 mg
Craffteine™ IMMUNITY GUARD,Holy Basil,250 mg,0-250 mg
Craffteine™ IMMUNITY GUARD,Olive Leaf Extract (Optional),150 mg,0-150 mg
Craffteine™ HYDRATE+,Sodium,250 mg,0-250 mg
Craffteine™ HYDRATE+,Potassium Citrate,200 mg,0-200 mg
Craffteine™ HYDRATE+,Magnesium,100 mg,0-100 mg
Craffteine™ HYDRATE+,Calcium,150 mg,0-150 mg
Craffteine™ HYDRATE+,Coconut Water Powder,1000 mg,0-1000 mg
Craffteine™ HYDRATE+,Hyaluronic Acid,50 mg,0-50 mg
Craffteine™ HYDRATE+,D-Ribose,2000 mg,0-2000 mg
Craffteine™ HYDRATE+,Inulin,1000 mg,0-1000 mg
Craffteine™ HYDRATE+,L-Theanine (Optional),50 mg,0-50 mg
